,class,nIC50,logP,molecular_wt,havy_atom_count,hydrogen_acceptors,hydrogen_donors,rotatable_bonds,amide_bonds,ring_count,tpsa,hba,hbd,qed
54,active,7.096910013008056,3.2622000000000018,334.40000000000003,24,5,0,3,0,4,44.0,5,0,0.5771029549850707
55,inactive,5.876148359032914,3.474000000000003,380.4690000000001,27,5,1,3,1,4,60.85000000000001,5,1,0.7070176728089772
56,inactive,5.465973893943865,3.334500000000003,718.6200000000002,52,14,9,12,0,5,278.03999999999996,14,9,0.05768790213222814
57,inactive,5.360513510731414,7.1305000000000085,555.5160000000003,37,4,1,8,0,5,45.59,4,1,0.22135475238825777
58,active,6.267606240177032,3.561300000000003,381.35000000000025,27,5,1,3,0,4,51.16000000000001,5,1,0.8812162516238017
59,active,6.173925197299173,2.9135000000000018,300.59399999999994,16,3,0,1,2,2,37.38,3,0,0.3233123114334685
60,active,8.0,0.009800000000006692,668.6720000000001,47,12,4,19,4,1,221.6,12,4,0.11312025849807586
61,active,6.086186147616283,1.806,207.25400000000002,14,3,0,2,0,1,57.93,3,0,0.6947014224634946
62,active,6.853871964321762,2.948500000000001,188.32100000000003,11,3,1,4,0,1,28.68,3,1,0.7364257627105035
63,inactive,5.471083299722345,-0.6342000000000009,540.5180000000005,38,13,6,9,0,3,201.66999999999996,13,6,0.13136642670062845
64,active,6.481486060122113,2.9115999999999995,487.8,11,2,2,0,0,1,40.46,2,2,0.5526877581932779
65,inactive,5.436518914605589,0.1942999999999998,464.37900000000013,33,12,8,3,0,4,210.50999999999996,12,8,0.24425467408199003
66,active,6.318758762624412,3.1075000000000017,412.2610000000001,24,6,6,4,0,2,113.18,6,6,0.2599669855433266
67,inactive,5.728158393463501,3.8030200000000036,401.4690000000001,27,6,0,5,1,3,99.4,6,0,0.3677118163576028
68,inactive,5.590066876668706,1.4048,348.4390000000001,25,5,3,0,0,6,86.99000000000001,5,3,0.5762715251489836
69,active,7.3979400086720375,2.2276999999999996,237.052,13,2,0,0,0,2,34.14,2,0,0.6480849496389218
70,inactive,5.305394801066432,3.696500000000002,283.327,21,3,1,5,1,2,59.31,3,1,0.6720717798157029
71,active,6.3872161432802645,1.3923600000000003,223.28599999999997,14,7,2,2,0,1,112.50999999999999,7,2,0.5749614240811024
72,inactive,5.496209316942819,-2.708299999999996,268.27299999999997,19,6,2,3,4,2,98.82,6,2,0.5400927830602834
73,inactive,5.342944147142896,-1.0159000000000016,624.5920000000004,44,15,9,10,0,4,245.28999999999996,15,9,0.08727041949615721
74,inactive,5.688246138944246,1.5226,160.17600000000002,12,3,2,0,0,2,59.14,3,2,0.4534537428891278
75,active,6.795880017344075,0.8136999999999999,257.265,18,4,2,5,1,1,83.96000000000001,4,2,0.7655989142058965
76,active,6.080921907623926,4.452000000000001,516.5830000000002,37,8,6,0,0,6,204.45999999999998,8,6,0.09495107461220785
77,active,6.292429823902063,6.203600000000003,350.46400000000006,24,4,2,3,0,4,40.46,4,2,0.4313629646538778
78,active,6.657577319177793,1.3204999999999993,302.2820000000001,22,6,5,0,0,4,110.38000000000001,6,5,0.46946133619296915
79,active,6.4089353929735005,3.515220000000001,369.3680000000001,25,4,1,5,0,3,73.86,4,1,0.6986390031308142
80,inactive,5.52432881167557,3.125300000000001,333.3910000000001,25,5,2,4,0,4,65.46000000000001,5,2,0.6005924237027245
81,inactive,5.580044251510242,2.9533000000000014,336.2290000000001,20,3,3,1,0,3,52.49,3,3,0.7020847370757354
82,active,7.0,1.9155999999999995,290.26000000000005,20,7,0,3,0,3,109.0,7,0,0.31343520544484943
83,active,6.795880017344075,5.705400000000002,332.50000000000006,20,6,0,3,0,4,25.78,6,0,0.4490644198756372
84,active,6.522878745280337,2.26,379.3790000000002,25,11,1,4,0,4,125.43,11,1,0.5363260595109353
